2024-10-02 11:57:01 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-10-02 11:57:01 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2024-10-02 11:57:01 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Added connection com.mysql.cj.jdbc.ConnectionImpl@653e79fc
2024-10-02 11:57:01 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2024-10-02 11:57:01 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-10-02 11:57:01 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-10-02 11:57:01 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-10-02 11:57:01 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-10-02 11:57:01 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-10-02 11:57:01 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 3 ms
2024-10-02 11:57:01 [main] INFO  c.s.p._.c.AuthControllertest - Started AuthControllertest in 1.487 seconds (process running for 10.198)
